season,date,home_team,away_team,home_gf,away_gf,home_cf_pct,away_cf_pct,home_xgf_pct,away_xgf_pct,home_hdcf_pct,away_hdcf_pct,home_sf_pct,away_sf_pct,home_gf_pct,away_gf_pct,home_goals_2_5
20132014,2013-10-07,NYR,SEA,5,0,43.16167224336399,39.41168988591605,59.3235229154987,58.39819704323989,55.03345035229626,58.97327922401266,40.0,40.0,65.0,61.461407854346646,1
20132014,2013-10-11,SJS,OTT,3,0,40.84829137724085,35.0,35.0,51.977710745066666,42.226345557043146,56.96896099223678,40.0,40.0,35.0,60.95945530073795,1
20132014,2013-10-15,COL,CAR,2,0,39.23422152178822,63.39169255529117,43.40136042355621,59.502656467222295,44.40130838029839,67.18496824692568,40.0,57.452523299762056,45.29004102116711,65.0,0
20132014,2013-10-17,PHI,STL,4,0,45.135066533871786,43.043939615080795,43.61869019374762,35.0,49.28088249474746,51.60660809801553,40.42155988048461,40.0,44.589801462870014,35.362561853921534,1
20132014,2013-10-18,CHI,DET,7,0,51.46596253655116,35.0,45.617960497052984,42.59212356676128,35.90675050858071,42.12672414065639,46.21936628289605,40.0,48.38957976391491,51.92346334920068,1
20132014,2013-10-21,CHI,NYI,10,0,45.287119621526536,53.207658460712594,49.17141382329406,60.11102277086097,61.22699421778279,46.863944964748676,40.658407659373886,48.38689261464133,51.681477497112226,61.391924146235,1
20132014,2013-10-22,VGK,STL,7,0,55.36029531844986,35.34822006297558,56.21461166512687,35.0,34.20856391593572,25.595961020010485,49.724265786604875,40.0,62.043545857415225,35.0,1
20132014,2013-10-23,NSH,BOS,5,0,37.05358046457723,41.79123781333945,35.0,39.89789744182446,30.359393927098346,46.68358280832689,40.0,40.0,36.21519138716631,49.04419172711292,1
20132014,2013-10-24,ANA,DET,4,0,42.41560129943472,41.55128723684565,39.73037020799708,35.0,32.22325424664292,38.36279174897843,40.0,40.0,45.01233666067922,35.0,1
20132014,2013-10-29,UTA,NJD,6,1,58.34444400402432,40.862055356117985,53.10401623198925,56.944315159066534,52.889517350680194,61.01254171489991,52.70999960362189,40.0,55.632940764192696,64.06976124770587,1
20132014,2013-10-30,VGK,STL,5,0,52.27003538216111,40.83790395385387,39.10123167692437,40.03922519005201,38.82424154252496,28.728079283816797,46.943031843945,40.0,43.59869273828267,47.46493992253257,1
20132014,2013-10-31,MIN,WPG,1,1,47.46021109504891,42.89622607083297,35.861954493335205,37.052741862103844,49.7613966553134,39.30711653879077,41.51418998554402,40.0,41.95953620264136,41.98319298650287,0
20132014,2013-11-07,SEA,VGK,6,0,47.563682966346285,44.888977841391714,58.33309638087339,46.7019545720385,62.90859931267758,59.534100145505704,42.70731466971166,40.30008005725254,65.0,49.64137008080513,1
20132014,2013-11-15,SJS,TOR,3,0,45.20226789358362,49.03032589374399,46.341446371602075,54.9659035793355,51.397216576694134,53.498917923332954,40.0,44.02729330436959,52.189014997371665,62.582162709846095,1
20132014,2013-11-20,TBL,TOR,2,1,38.61000499878099,41.5412102530377,38.74696377498429,49.444865201096086,57.67801681978975,57.09980659295832,40.0,40.0,41.42356656659535,51.64756199617413,0
20132014,2013-11-27,UTA,TBL,7,0,43.56912762684532,51.919484121873964,42.50701486830915,46.1790588882854,65.87945244033776,38.19882960212537,40.0,46.52753570968657,49.91751756026213,47.5613352038248,1
20132014,2013-12-02,MIN,VAN,3,0,35.0,36.4834765817465,35.0,35.0,48.66381752033021,36.74847625350497,40.0,40.0,35.0,35.0,1
20132014,2013-12-09,SEA,NJD,4,0,51.84838556412631,50.509483557517584,39.53022621083244,46.76339852413044,51.5732674382039,53.29864655327059,46.56354700771368,45.358535201765825,47.985551246165265,51.12226728145865,1
20132014,2013-12-10,NYR,NYI,8,0,55.66013546832714,45.46543871471652,43.42377296920458,61.28936965177871,46.56926890881284,48.455643243202,50.29412192149443,41.41889484324487,51.014903375819586,63.09995489317315,1
